"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,D1";"D_SOD-123F";2;"3.3V";;;
2;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"SolderJumper_2_Open";;;
3;"U1";"DIP787W46P254L927H533Q8";1;"ATTINY45-20PU";;;
4;"R6,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"499";;;
5;"R5,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1K";;;
6;"R4,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"49";;;
7;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
8;"J1";"TE_1-1734028-1";1;"1-1734028-1";;;
9;"D4";"RESC3015X65";1;"GRN";;;
10;"D3";"RESC3015X65";1;"RED";;;
11;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1mF";;;
